순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,26,N (N),6,N,Y,0.8357,1.0000,4,O, 
1,26,N (N),6,N,Y,0.8357,1.0000,4,O, 
2,26,N (N),6,N,Y,0.5000,0.8881,3,O, 
3,25,N (N),6,N,Y,0.6666,0.8947,3,O, 
4,25,N (N),6,N,Y,0.5357,0.8684,3,O, 
5,25,N (N),6,N,Y,0.5071,0.8157,3,O, 
6,20,N (N),6,N,Y,0.5851,0.7368,4,O, 
7,20,N (N),6,N,Y,0.2785,1.0000,2,O, 
8,17,N (N),6,N,Y,0.2777,0.9210,2,O, 
9,14,N (N),6,N,Y,0.8500,1.0000,4,O, 
10,14,N (N),6,N,Y,0.2370,0.6842,2,O, 
11,12,N (N),6,N,Y,0.3037,1.0000,2,X, 
12,10,Y (Y),6,N,Y,0.5111,0.8157,3,O, 
13,10,N (N),5,N,Y,0.3592,0.5789,3,X, 
14,8,N (N),6,N,Y,0.2592,0.8947,2,X, 
15,6,N (N),6,N,Y,0.2222,0.8947,2,X, 
16,5,N (N),6,N,Y,0.7714,0.9473,4,X, 
17,3,N (N),6,N,Y,0.3037,0.9473,2,X, 
18,2,Y (Y),6,N,Y,0.2814,0.9473,2,O, 
19,2,N (N),6,N,Y,0.7785,0.9473,4,X, 
20,2,N (N),5,N,Y,0.7571,0.7894,4,X, 
21,1,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
22,1,Y (Y),6,N,Y,0.4333,0.8684,2,O, 
23,1,Y (Y),6,N,Y,0.2962,1.0000,2,O, 
24,1,N (N),6,N,Y,0.2814,1.0000,2,X, 
25,1,N (N),6,N,Y,0.2814,0.9473,2,X, 
