순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,Y (Y),6,N,Y,1.0000,0.6842,4,O, 
1,15,Y (Y),6,N,Y,1.0000,0.6842,4,O, 
2,11,Y (Y),6,N,Y,0.7142,0.7894,4,O, 
3,11,Y (Y),5,N,Y,0.8214,0.9473,4,O, 
4,10,Y (Y),6,Y,Y,0.8928,0.9473,4,O, 
5,10,Y (Y),6,N,Y,0.7571,0.7894,4,O, 
6,9,Y (Y),6,N,Y,0.8234,0.9736,4,O, 
7,7,Y (Y),6,Y,Y,1.0000,0.9473,4,O, 
8,7,Y (Y),6,N,Y,0.5428,0.9473,3,O, 
9,6,Y (Y),6,N,Y,0.8000,0.6315,4,O, 
10,6,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
11,6,Y (Y),6,N,Y,0.6928,1.0000,3,O, 
12,6,Y (Y),5,N,Y,0.7642,1.0000,4,O, 
13,6,Y (Y),4,Y,Y,0.9285,0.7894,4,O, 
14,5,Y (Y),6,N,Y,0.8142,0.7894,4,O, 
15,5,Y (Y),5,N,Y,0.9785,0.8157,4,O, 
16,3,Y (Y),6,N,Y,0.7857,0.9473,4,O, 
17,3,Y (Y),6,N,Y,0.7785,0.9473,4,O, 
18,3,Y (Y),6,N,Y,0.7785,0.9473,4,O, 
19,3,Y (Y),6,N,Y,0.7500,1.0000,4,O, 
20,3,Y (Y),5,N,Y,0.7892,1.0000,4,O, 
21,2,Y (Y),6,N,Y,0.6357,0.9473,3,O, 
22,1,Y (Y),6,Y,Y,0.9642,0.7368,4,O, 
23,1,Y (Y),6,N,Y,0.8285,0.9473,4,O, 
24,1,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
25,1,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
26,1,Y (Y),6,N,Y,0.7857,0.9473,4,O, 
27,1,Y (Y),6,N,Y,0.7785,0.9473,4,O, 
28,1,Y (Y),6,N,Y,0.7714,0.9473,4,O, 
29,1,Y (Y),6,N,Y,0.7642,1.0000,4,O, 
30,1,Y (Y),6,N,Y,0.7642,1.0000,4,O, 
31,1,Y (Y),6,N,Y,0.7642,0.9473,4,O, 
32,1,Y (Y),6,N,Y,0.7642,0.9473,4,O, 
33,1,Y (Y),6,N,Y,0.6714,1.0000,4,O, 
34,1,Y (Y),5,Y,Y,1.0000,0.1578,4,O, 
35,1,Y (Y),5,N,Y,0.8357,0.9473,4,O, 
0,12,Y (Y),6,N,Y,0.7857,0.8421,4,O,* 
