순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
1,24,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
2,24,N (N),6,Y,Y,1.0000,0.6666,4,O, 
3,20,Y (Y),6,Y,Y,0.8571,0.6666,4,O, 
4,20,Y (Y),6,N,Y,0.6746,1.0000,3,O, 
5,18,Y (Y),6,Y,Y,0.9682,0.8333,4,O, 
6,17,Y (Y),6,N,Y,0.9185,0.9473,4,O, 
7,15,Y (Y),6,N,Y,0.6587,0.8888,4,O, 
8,15,Y (Y),4,Y,Y,1.0000,1.0000,4,O, 
9,14,Y (Y),6,N,Y,0.9444,1.0000,4,O, 
10,14,Y (Y),6,N,Y,0.8888,0.8333,4,O, 
11,14,Y (Y),6,N,Y,0.6746,1.0000,3,O, 
12,14,Y (Y),6,N,Y,0.6746,0.8611,3,O, 
13,13,Y (Y),6,N,Y,0.6468,0.8611,3,O, 
14,12,Y (Y),6,N,Y,0.7440,1.0000,3,O, 
15,12,Y (Y),6,N,Y,0.4206,1.0000,3,O, 
16,12,N (N),6,N,Y,0.9365,1.0000,4,O, 
17,11,Y (Y),6,Y,Y,0.8015,1.0000,4,O, 
18,11,Y (Y),6,N,Y,0.8492,0.8333,4,O, 
19,11,Y (Y),6,N,Y,0.4880,0.8333,3,O, 
20,11,N (N),6,N,Y,0.9047,0.6666,4,O, 
21,10,Y (Y),6,Y,Y,0.8650,0.8333,4,O, 
22,10,N (N),6,Y,Y,0.9583,0.9444,4,O, 
23,9,Y (Y),6,N,Y,0.8174,1.0000,4,O, 
24,8,Y (Y),6,N,Y,0.9365,1.0000,4,O, 
25,8,Y (Y),6,N,Y,0.8234,0.8888,4,O, 
26,8,Y (Y),6,N,Y,0.7619,1.0000,4,O, 
27,8,Y (Y),6,N,Y,0.5793,1.0000,3,O, 
28,8,N (N),6,N,Y,0.7261,1.0000,3,O, 
29,6,Y (Y),6,N,Y,0.6507,1.0000,3,O, 
30,6,Y (Y),6,N,Y,0.5396,0.9444,3,O, 
31,4,Y (Y),6,N,Y,0.6269,0.8333,3,O, 
32,4,Y (Y),6,N,Y,0.5851,0.9473,4,O, 
33,4,Y (Y),6,N,Y,0.5119,0.6666,3,O, 
34,2,Y (Y),6,N,Y,0.7619,1.0000,4,O, 
35,2,Y (Y),6,N,Y,0.6031,0.6944,3,X, 
36,1,Y (Y),6,Y,Y,0.9285,0.6666,4,O, 
37,1,Y (Y),5,N,Y,1.0000,0.6111,4,O, 
38,1,N (N),6,N,Y,1.0000,0.1666,4,X, 
