순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,14,Y (Y),5,N,Y,0.4214,0.1578,3,O, 
1,14,Y (Y),5,N,Y,0.4214,0.1578,3,O, 
2,10,Y (Y),5,Y,Y,0.8928,1.0000,4,O, 
3,6,Y (Y),6,Y,Y,0.9285,0.9473,4,O, 
4,3,Y (Y),6,N,Y,0.6928,0.9473,3,O, 
5,3,Y (Y),6,N,Y,0.5142,1.0000,3,O, 
6,3,Y (Y),4,Y,Y,1.0000,0.9736,4,O, 
7,2,Y (Y),6,N,Y,0.7428,0.7894,4,O, 
8,2,Y (Y),6,N,Y,0.6928,0.7894,4,O, 
9,2,Y (Y),6,N,Y,0.6178,0.9473,3,O, 
10,2,Y (Y),6,N,Y,0.4964,0.7894,3,O, 
11,1,Y (Y),6,Y,Y,0.9857,0.7894,4,O, 
12,1,Y (Y),6,Y,Y,0.9285,1.0000,4,O, 
13,1,Y (Y),6,Y,Y,0.9214,0.9473,4,O, 
14,1,Y (Y),6,Y,Y,0.9142,0.9473,4,O, 
15,1,Y (Y),6,Y,Y,0.9000,0.9473,4,O, 
16,1,Y (Y),6,N,Y,0.8607,1.0000,4,O, 
17,1,Y (Y),6,N,Y,0.8071,0.9473,4,O, 
18,1,Y (Y),6,N,Y,0.7714,1.0000,4,O, 
19,1,Y (Y),6,N,Y,0.6928,0.9736,3,O, 
20,1,Y (Y),6,N,Y,0.6821,0.8421,3,O, 
21,1,Y (Y),6,N,Y,0.6678,0.7894,3,O, 
22,1,Y (Y),6,N,Y,0.6500,0.7894,3,O, 
23,1,Y (Y),6,N,Y,0.6500,0.7894,3,O, 
24,1,Y (Y),6,N,Y,0.6142,0.9473,3,O, 
25,1,Y (Y),6,N,Y,0.6000,0.9473,4,O, 
26,1,Y (Y),6,N,Y,0.5642,0.6315,3,O, 
27,1,Y (Y),6,N,Y,0.5428,0.9473,3,O, 
28,1,Y (Y),6,N,Y,0.5428,0.7894,3,O, 
29,1,Y (Y),4,N,Y,0.6607,1.0000,3,O, 
