순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,3,Y (Y),6,N,Y,0.8500,0.9473,4,O, 
1,3,Y (Y),6,N,Y,0.8500,0.9473,4,O, 
2,2,Y (Y),6,N,Y,0.7142,0.9473,4,O, 
3,1,Y (Y),6,Y,Y,1.0000,0.9473,4,O, 
4,1,Y (Y),6,Y,Y,1.0000,0.4736,4,O, 
5,1,Y (Y),6,Y,Y,0.9428,0.8421,4,O, 
6,1,Y (Y),6,Y,Y,0.9250,0.9473,4,O, 
7,1,Y (Y),6,Y,Y,0.9214,1.0000,4,O, 
8,1,Y (Y),6,N,Y,0.8928,0.8421,4,O, 
9,1,Y (N),6,N,Y,0.8888,1.0000,4,O, 
10,1,Y (Y),6,N,Y,0.8214,1.0000,4,O, 
11,1,Y (Y),6,N,Y,0.8214,1.0000,4,O, 
12,1,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
13,1,Y (Y),6,N,Y,0.7928,1.0000,4,O, 
14,1,Y (Y),6,N,Y,0.7892,1.0000,4,O, 
15,1,Y (Y),6,N,Y,0.7857,0.7894,4,O, 
16,1,Y (Y),6,N,Y,0.7785,0.9473,4,O, 
17,1,Y (Y),6,N,Y,0.7714,0.9736,4,O, 
18,1,Y (Y),6,N,Y,0.7678,1.0000,4,O, 
19,1,Y (Y),6,N,Y,0.7535,0.9473,4,O, 
20,1,Y (Y),6,N,Y,0.6714,1.0000,3,O, 
21,1,Y (Y),6,N,Y,0.6571,0.8421,4,O, 
