순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,Y,N,1.0000,0.5000,4,O, 
1,12,Y (Y),6,Y,N,1.0000,0.5000,4,O, 
2,12,Y (Y),6,N,Y,0.6884,0.9722,3,O, 
3,12,Y (Y),6,N,Y,0.4603,0.8333,2,O, 
4,12,Y (Y),6,N,Y,0.4563,1.0000,2,O, 
5,12,Y (Y),6,N,Y,0.4555,0.9736,2,O, 
6,12,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
7,12,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
8,12,Y (Y),6,N,Y,0.4407,0.9736,2,O, 
9,12,Y (Y),6,N,Y,0.4404,1.0000,2,O, 
10,12,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
11,12,Y (Y),6,N,Y,0.4246,0.8611,2,O, 
12,12,Y (Y),6,N,Y,0.4222,0.7894,2,O, 
13,12,Y (Y),6,N,Y,0.4206,0.8611,2,O, 
14,12,Y (Y),6,N,Y,0.4185,0.9736,2,O, 
15,12,Y (Y),6,N,Y,0.4126,0.7777,2,O, 
16,12,Y (Y),6,N,Y,0.4111,1.0000,2,O, 
17,12,Y (Y),6,N,Y,0.4087,1.0000,2,O, 
18,12,Y (Y),6,N,Y,0.4000,1.0000,2,O, 
19,12,Y (Y),6,N,Y,0.3968,0.8333,2,O, 
20,12,Y (Y),6,N,Y,0.3962,0.8157,2,O, 
21,12,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
22,12,Y (Y),6,N,Y,0.3814,0.9210,2,O, 
23,12,Y (Y),6,N,Y,0.3555,0.8157,2,O, 
24,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
25,12,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
26,12,Y (Y),6,N,Y,0.2777,0.9444,2,O, 
27,12,Y (Y),6,N,Y,0.2698,0.8333,2,O, 
28,12,Y (Y),6,N,Y,0.2619,0.8333,2,O, 
29,12,Y (Y),6,N,Y,0.2460,0.7777,2,O, 
30,12,Y (Y),6,N,Y,0.2420,0.7222,2,O, 
31,12,Y (Y),6,N,Y,0.2341,0.6944,2,O, 
32,12,Y (Y),6,N,N,0.7936,0.6666,4,O, 
33,12,Y (Y),6,N,N,0.5555,0.8157,3,O, 
34,12,Y (Y),6,N,N,0.4880,1.0000,2,O, 
35,12,Y (Y),6,N,N,0.4761,1.0000,2,O, 
36,12,Y (Y),6,N,N,0.4484,1.0000,2,O, 
37,12,Y (Y),6,N,N,0.4166,1.0000,2,O, 
38,12,Y (Y),6,N,N,0.4047,0.8333,2,O, 
39,12,Y (Y),4,N,N,0.9603,1.0000,4,O, 
40,11,Y (Y),5,N,Y,0.4206,0.8333,2,O, 
41,7,Y (Y),5,N,Y,0.4007,1.0000,2,X, 
42,6,Y (Y),6,Y,N,1.0000,0.5000,4,O, 
43,2,Y (Y),6,N,N,0.6507,0.8333,3,O, 
