순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.9047,0.6666,4,O, 
1,36,N (N),6,N,Y,0.9047,0.6666,4,O, 
2,36,N (N),6,N,Y,0.8095,0.8947,4,O, 
3,36,N (N),6,N,Y,0.7301,0.8888,3,O, 
4,36,N (N),6,N,Y,0.5000,1.0000,3,O, 
5,36,N (N),5,Y,Y,1.0000,0.7894,4,O, 
6,36,N (N),5,N,Y,0.5851,1.0000,3,O, 
7,36,N (N),4,N,Y,0.9285,0.8333,4,O, 
8,36,N (N),4,N,Y,0.8809,0.8333,4,O, 
9,34,N (N),5,N,Y,0.6250,0.6315,4,O, 
10,33,N (N),6,N,Y,0.7071,0.9473,3,O, 
11,32,N (N),6,N,Y,0.9345,0.8333,4,O, 
12,30,N (N),6,N,Y,0.8571,1.0000,4,O, 
13,29,N (N),6,N,Y,0.6507,1.0000,3,O, 
14,28,N (N),6,Y,Y,0.8492,1.0000,4,O, 
15,28,N (N),6,N,Y,0.5515,1.0000,3,O, 
16,28,N (N),6,N,Y,0.4246,1.0000,2,O, 
17,27,N (N),6,N,Y,0.5037,0.9473,3,O, 
18,26,N (N),5,Y,Y,0.9206,0.8333,4,O, 
19,25,N (N),6,N,Y,0.7714,1.0000,4,X, 
20,25,N (N),6,N,Y,0.5731,0.9210,3,X, 
21,24,N (N),6,N,Y,0.5476,1.0000,3,X, 
22,24,N (N),5,Y,Y,0.8650,0.8333,4,X, 
23,23,N (N),6,N,Y,0.9047,0.6666,4,X, 
24,23,N (N),6,N,Y,0.7777,1.0000,4,X, 
25,23,N (N),6,N,Y,0.7460,0.9444,4,X, 
26,23,N (N),6,N,Y,0.4841,0.8333,3,X, 
27,23,N (N),5,N,Y,0.7698,0.8333,4,X, 
28,23,N (N),5,N,Y,0.6666,0.8611,4,X, 
29,23,N (N),4,N,Y,0.7619,0.8333,4,X, 
30,22,N (N),6,Y,Y,1.0000,0.1666,4,X, 
31,22,N (N),6,Y,Y,0.9047,0.8333,4,X, 
32,22,N (N),6,Y,Y,0.8962,0.8947,4,X, 
33,22,N (N),6,Y,Y,0.7698,0.6666,4,X, 
34,22,N (N),6,N,Y,0.7698,1.0000,4,X, 
35,22,N (N),6,N,Y,0.7063,1.0000,4,X, 
36,22,N (N),5,Y,Y,1.0000,1.0000,4,X, 
37,21,N (N),6,N,Y,0.5793,0.8611,3,X, 
38,20,N (N),6,Y,Y,0.9761,1.0000,4,X, 
39,20,N (N),6,N,Y,0.8814,0.9473,4,X, 
40,20,N (N),6,N,Y,0.8492,0.8333,4,X, 
41,20,N (N),6,N,Y,0.7714,1.0000,4,X, 
42,20,N (N),6,N,Y,0.7698,0.8333,4,X, 
43,20,N (N),6,N,Y,0.6031,0.8611,3,X, 
44,20,N (N),6,N,Y,0.6000,1.0000,3,X, 
45,20,N (N),6,N,Y,0.5674,0.6666,3,X, 
46,20,N (N),5,N,Y,0.8000,0.7894,4,X, 
47,20,N (N),5,N,Y,0.2896,0.8611,2,X, 
48,19,N (N),6,N,Y,0.8571,0.8333,4,X, 
49,19,N (N),6,N,Y,0.8253,1.0000,4,X, 
50,18,N (N),6,Y,Y,0.8492,0.5000,4,X, 
51,18,N (N),6,N,Y,0.8571,0.8333,4,X, 
52,18,N (N),6,N,Y,0.5158,0.8611,3,X, 
53,17,N (N),6,N,Y,0.9555,0.7894,4,X, 
54,17,N (N),6,N,Y,0.7380,0.8333,4,X, 
55,17,N (N),5,Y,Y,0.8650,0.8333,4,X, 
56,17,N (N),5,N,Y,0.8630,0.8333,4,X, 
57,15,N (N),6,N,Y,0.3428,1.0000,2,X, 
58,8,N (N),6,N,Y,0.4841,0.8611,3,X, 
59,6,N (N),6,Y,Y,0.9603,0.6666,4,X, 
60,6,N (N),6,Y,Y,0.8571,1.0000,4,X, 
61,5,N (N),6,N,Y,0.9214,0.7894,4,X, 
62,5,N (N),6,N,Y,0.2857,0.8333,2,X, 
63,3,N (N),6,N,Y,0.7698,0.8611,4,X, 
64,1,N (N),6,Y,Y,0.9365,0.8333,4,X, 
65,1,N (N),6,N,Y,0.7785,0.9473,4,X, 
