순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9214,0.9473,4,O, 
1,36,N (N),6,Y,Y,0.9214,0.9473,4,O, 
2,36,N (N),6,N,Y,0.5925,0.7894,3,O, 
3,36,N (N),6,N,Y,0.4107,0.9736,2,O, 
4,24,N (N),4,Y,Y,0.9428,1.0000,4,O, 
5,21,N (N),6,N,Y,0.8142,0.1578,4,O, 
6,15,N (N),6,N,Y,0.7642,1.0000,4,O, 
7,15,N (N),6,N,Y,0.6746,0.9473,3,O, 
8,14,N (N),6,N,Y,0.2428,0.3157,2,O, 
9,12,N (N),6,N,Y,0.7928,1.0000,4,O, 
10,12,N (N),6,N,Y,0.6500,0.9473,3,O, 
11,12,N (N),6,N,Y,0.6357,0.9473,3,O, 
12,11,N (N),6,N,Y,0.4142,0.9473,3,O, 
13,10,N (N),6,Y,Y,0.9285,0.9473,4,O, 
14,10,N (N),6,Y,Y,0.9000,0.0526,4,O, 
15,10,N (N),6,N,Y,0.5785,0.7894,3,O, 
16,10,N (N),6,N,Y,0.4571,0.7894,3,O, 
17,10,N (N),6,N,Y,0.4107,0.9736,2,O, 
18,10,N (N),6,N,Y,0.3892,0.9736,2,O, 
19,9,N (N),6,N,Y,0.3214,1.0000,2,O, 
20,8,N (N),6,N,Y,0.5000,0.9473,3,O, 
21,8,N (N),6,N,Y,0.4007,0.9736,2,O, 
22,7,N (N),6,Y,Y,1.0000,0.9473,4,O, 
23,7,N (N),6,Y,Y,0.9142,0.8947,4,O, 
24,6,N (N),6,N,Y,0.8500,0.9473,4,O, 
25,6,N (N),6,N,Y,0.4035,0.9736,2,O, 
26,6,N (N),6,N,Y,0.3964,0.8157,2,O, 
27,5,N (N),6,Y,Y,0.8642,1.0000,4,O, 
28,5,N (N),6,N,Y,0.6500,0.7894,3,O, 
29,5,N (N),6,N,Y,0.4035,0.8684,2,O, 
30,5,N (N),5,N,Y,0.8928,0.9473,4,O, 
31,5,N (N),5,N,Y,0.2785,1.0000,2,O, 
32,4,N (N),6,Y,Y,0.8714,0.9473,4,O, 
33,3,N (N),6,N,Y,0.8571,1.0000,4,O, 
34,3,N (N),6,N,Y,0.6785,1.0000,3,O, 
35,3,N (N),6,N,Y,0.6071,1.0000,3,O, 
36,3,N (N),6,N,Y,0.4071,0.9473,2,O, 
37,2,N (N),6,N,Y,0.8357,1.0000,4,O, 
38,2,N (N),6,N,Y,0.8071,0.9473,4,O, 
39,2,N (N),6,N,Y,0.6571,0.7894,3,O, 
40,2,N (N),6,N,Y,0.5785,0.8421,3,O, 
41,1,N (N),6,Y,Y,0.9500,0.9473,4,O, 
42,1,N (N),6,Y,Y,0.9357,0.9473,4,O, 
43,1,N (N),6,Y,Y,0.9071,1.0000,4,O, 
44,1,N (N),6,Y,Y,0.8928,0.8947,4,O, 
45,1,N (N),6,N,Y,0.7357,0.9473,4,O, 
46,1,N (N),6,N,Y,0.7214,0.9473,4,X, 
47,1,N (N),6,N,Y,0.5428,0.9473,3,X, 
48,1,N (N),6,N,Y,0.5071,0.8157,3,X, 
49,1,N (N),6,N,Y,0.4107,1.0000,2,X, 
