순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.2785,0.8947,2,O, 
1,36,Y (Y),6,N,Y,0.2785,0.8947,2,O, 
2,36,Y (Y),6,N,Y,0.2571,0.8421,2,O, 
3,35,Y (Y),2,Y,Y,1.0000,0.7894,4,O, 
4,29,Y (Y),6,N,Y,0.4074,0.9473,2,O, 
5,20,Y (Y),6,N,Y,0.1642,0.5789,2,O, 
6,19,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
7,17,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
8,16,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
9,15,Y (Y),6,N,Y,0.2964,0.8684,2,O, 
10,14,Y (Y),6,N,Y,0.2785,0.8947,2,O, 
11,14,Y (Y),6,N,Y,0.2750,0.9736,2,O, 
12,13,Y (Y),6,N,Y,0.3000,1.0000,2,O, 
13,12,Y (Y),6,N,Y,0.2535,1.0000,2,O, 
14,10,Y (Y),6,N,Y,0.3428,1.0000,2,O, 
15,10,Y (Y),6,N,Y,0.3142,0.7894,3,O, 
16,10,Y (Y),6,N,Y,0.3071,1.0000,2,O, 
17,9,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
18,8,Y (Y),6,N,Y,0.3428,0.7894,3,O, 
19,8,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
20,8,Y (Y),6,N,Y,0.2750,0.9736,2,O, 
21,7,Y (Y),6,N,Y,0.2357,0.8421,2,O, 
22,7,Y (Y),6,N,N,0.5714,0.9473,3,O, 
23,6,Y (Y),6,N,Y,0.3000,1.0000,2,O, 
24,6,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
25,6,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
26,6,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
27,6,Y (Y),6,N,Y,0.2750,1.0000,2,O, 
28,6,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
29,6,Y (Y),6,N,Y,0.2571,1.0000,2,O, 
30,6,Y (Y),6,N,Y,0.2571,0.8421,2,O, 
31,5,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
32,5,Y (Y),6,N,Y,0.2714,0.9210,2,O, 
33,5,Y (Y),6,N,N,0.5285,0.7894,3,O, 
34,4,Y (Y),6,N,Y,0.3714,0.9473,2,O, 
35,4,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
36,4,Y (Y),6,N,Y,0.2750,0.9736,2,O, 
37,3,Y (Y),6,N,Y,0.5071,0.7894,3,X, 
38,3,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
39,3,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
40,3,Y (Y),6,N,Y,0.2714,1.0000,2,X, 
41,2,Y (Y),6,N,Y,0.2857,1.0000,2,X, 
42,2,Y (Y),6,N,Y,0.2571,1.0000,2,X, 
43,2,Y (Y),6,N,Y,0.2571,1.0000,2,X, 
44,2,Y (Y),6,N,Y,0.2571,0.8421,2,X, 
45,2,Y (Y),6,N,Y,0.2321,0.8947,2,X, 
