순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,32,Y (Y),4,Y,Y,0.9126,0.8333,4,O, 
1,32,Y (Y),4,Y,Y,0.9126,0.8333,4,O, 
2,31,Y (Y),6,N,Y,0.3928,0.9722,2,O, 
3,27,Y (Y),6,N,Y,0.5714,0.6666,3,O, 
4,26,Y (Y),6,N,Y,0.2539,0.7777,2,O, 
5,25,Y (Y),5,N,Y,0.4325,0.9722,2,O, 
6,24,Y (Y),6,N,Y,0.4166,0.9722,2,O, 
7,23,Y (Y),6,N,Y,0.3730,0.8611,2,O, 
8,23,Y (Y),5,N,Y,0.4047,0.9166,2,O, 
9,23,Y (Y),5,N,Y,0.3412,0.8611,2,O, 
10,23,Y (Y),4,N,Y,0.3849,0.8611,2,O, 
11,22,Y (Y),6,Y,Y,0.8730,0.6666,4,O, 
12,22,Y (Y),6,N,Y,0.4126,0.9722,2,O, 
13,22,Y (Y),6,N,Y,0.4007,0.6944,3,O, 
14,22,Y (Y),5,N,Y,0.4563,0.8611,2,O, 
15,22,Y (Y),4,N,Y,0.5476,0.8333,3,O, 
16,21,Y (Y),5,N,Y,0.4246,1.0000,2,O, 
17,20,Y (Y),5,N,Y,0.6746,0.6666,3,O, 
18,19,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
19,18,Y (Y),6,N,Y,0.6507,0.8333,3,O, 
20,17,Y (Y),6,N,N,0.3769,0.8611,2,O, 
21,15,Y (Y),6,N,Y,0.3849,1.0000,2,O, 
22,15,Y (Y),6,N,Y,0.3769,0.8611,2,O, 
23,13,Y (Y),5,N,Y,0.3849,0.8333,2,X, 
24,13,Y (Y),5,N,N,0.5476,0.8333,3,X, 
25,12,Y (Y),6,N,Y,0.6904,1.0000,3,X, 
26,11,Y (Y),6,N,Y,0.3730,0.6666,2,X, 
27,10,Y (Y),6,N,Y,0.4206,0.8611,2,X, 
28,10,Y (Y),6,N,Y,0.3928,1.0000,2,X, 
29,10,Y (Y),5,N,Y,0.2539,0.9444,2,X, 
30,8,Y (Y),6,N,Y,0.4166,1.0000,2,X, 
