순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9481,0.7894,4,O, 
1,36,N (N),6,Y,Y,0.9481,0.7894,4,O, 
2,36,N (N),6,Y,Y,0.9037,0.8421,4,O, 
3,11,N (N),6,N,Y,0.4107,0.9736,2,O, 
4,8,N (N),6,Y,Y,1.0000,0.7894,4,O, 
5,7,N (N),4,Y,Y,0.9523,0.8333,4,O, 
6,5,N (N),6,Y,Y,0.9603,1.0000,4,O, 
7,5,N (N),6,N,Y,0.8000,1.0000,4,O, 
8,5,N (N),6,N,Y,0.5238,0.8611,3,O, 
9,4,N (N),6,N,Y,0.4047,0.9722,2,O, 
10,3,N (N),6,Y,Y,0.9523,1.0000,4,O, 
11,3,N (N),6,Y,Y,0.9285,0.8055,4,O, 
12,3,N (N),6,Y,Y,0.9126,0.7222,4,O, 
13,3,N (N),6,N,Y,0.5555,0.9444,3,O, 
14,3,N (N),6,N,Y,0.5333,1.0000,3,O, 
15,2,N (N),6,Y,Y,0.8888,0.6315,4,O, 
16,2,N (N),6,N,Y,0.8214,1.0000,4,X, 
17,2,N (N),6,N,Y,0.2888,0.7894,2,O, 
18,1,N (N),6,Y,Y,0.9603,0.8333,4,X, 
19,1,N (N),6,N,Y,0.9785,0.5789,4,X, 
20,1,N (N),6,N,Y,0.8642,0.9473,4,X, 
21,1,N (N),6,N,Y,0.6865,1.0000,3,O, 
22,1,N (N),6,N,Y,0.6714,1.0000,3,O, 
23,1,N (N),6,N,Y,0.5793,0.8684,3,O, 
24,1,N (N),6,N,Y,0.4535,1.0000,2,O, 
25,1,N (N),6,N,Y,0.4259,1.0000,2,O, 
26,1,N (N),6,N,Y,0.4259,1.0000,2,O, 
27,1,N (N),6,N,Y,0.3690,0.8157,2,O, 
28,1,N (N),6,N,Y,0.3293,1.0000,2,O, 
