순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,Y,Y,1.0000,0.9473,4,O, 
1,36,Y (Y),6,Y,Y,1.0000,0.9473,4,O, 
2,36,Y (Y),6,Y,Y,1.0000,0.9473,4,O, 
3,36,Y (Y),6,Y,Y,1.0000,0.8333,4,O, 
4,36,Y (Y),6,Y,Y,1.0000,0.7777,4,O, 
5,36,Y (Y),6,Y,Y,0.9841,0.8333,4,O, 
6,36,Y (Y),6,Y,Y,0.9841,0.7894,4,O, 
7,36,Y (Y),6,Y,Y,0.9603,0.7894,4,O, 
8,36,Y (Y),6,Y,Y,0.9444,1.0000,4,O, 
9,36,Y (Y),6,Y,Y,0.9365,0.6666,4,O, 
10,36,Y (Y),6,Y,Y,0.9246,0.6315,4,O, 
11,36,Y (Y),6,Y,Y,0.9126,0.8888,4,O, 
12,36,Y (Y),6,Y,Y,0.9047,0.8333,4,O, 
13,36,Y (Y),6,Y,Y,0.8968,0.8888,4,O, 
14,36,Y (Y),6,Y,Y,0.8968,0.8333,4,O, 
15,36,Y (Y),6,Y,Y,0.8809,1.0000,4,O, 
16,36,Y (Y),6,Y,Y,0.8809,1.0000,4,O, 
17,36,Y (Y),6,Y,Y,0.8333,0.8333,4,X, 
18,36,Y (Y),6,N,Y,1.0000,1.0000,4,X, 
19,36,Y (Y),6,N,Y,0.9027,0.7368,4,X, 
20,36,Y (Y),6,N,Y,0.8730,1.0000,4,X, 
21,36,Y (Y),6,N,Y,0.8650,0.7500,4,X, 
22,36,Y (Y),6,N,Y,0.8492,1.0000,4,X, 
23,36,Y (Y),6,N,Y,0.8333,0.8421,4,X, 
24,36,Y (Y),6,N,Y,0.7380,0.8333,4,X, 
25,36,Y (Y),5,Y,Y,0.9365,0.9473,4,X, 
26,36,Y (Y),5,Y,Y,0.9285,0.8333,4,X, 
27,36,Y (Y),5,Y,Y,0.8888,1.0000,4,X, 
28,36,Y (Y),5,Y,Y,0.8571,0.8333,4,X, 
29,36,Y (Y),5,N,Y,0.7857,0.8333,4,X, 
30,36,Y (Y),5,N,Y,0.4285,1.0000,2,X, 
31,36,Y (Y),4,Y,Y,0.9444,0.8333,4,X, 
32,36,Y (Y),4,Y,Y,0.9047,0.8333,4,X, 
33,36,Y (Y),3,Y,Y,0.9365,0.5000,4,X, 
34,36,Y (Y),3,Y,Y,0.9285,1.0000,4,X, 
35,36,Y (Y),3,Y,Y,0.9047,0.9166,4,X, 
36,36,Y (Y),3,N,Y,0.9761,1.0000,4,X, 
37,36,Y (Y),2,Y,Y,1.0000,1.0000,4,X, 
38,33,Y (Y),6,N,Y,1.0000,0.8888,4,X, 
39,1,Y (Y),6,Y,Y,0.9603,0.1666,4,X, 
40,1,Y (Y),6,N,Y,0.6984,0.8611,3,X, 
0,12,Y (Y),6,N,Y,0.7500,0.8750,4,O,* 
