순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,28,Y (Y),6,N,N,0.4035,0.8157,2,O, 
1,28,Y (Y),6,N,N,0.4035,0.8157,2,O, 
2,25,Y (Y),5,N,N,0.4642,0.7894,3,O, 
3,22,Y (Y),6,N,Y,0.3000,0.6315,3,O, 
4,21,Y (Y),6,N,Y,0.3928,0.9473,2,O, 
5,20,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
6,20,Y (Y),6,N,Y,0.2321,0.7368,2,O, 
7,19,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
8,19,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
9,19,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
10,19,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
11,18,Y (Y),6,N,Y,0.3000,1.0000,2,O, 
12,18,Y (Y),6,N,Y,0.2357,0.8421,2,O, 
13,18,Y (Y),6,N,N,0.7571,0.7894,4,O, 
14,16,Y (Y),6,N,Y,0.2785,0.8947,2,O, 
15,16,Y (Y),6,N,Y,0.2750,1.0000,2,O, 
16,16,Y (Y),6,N,Y,0.2750,0.9736,2,O, 
17,16,Y (Y),6,N,Y,0.2714,0.9736,2,O, 
18,15,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
19,15,Y (Y),5,N,Y,0.3285,0.9473,2,O, 
20,14,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
21,14,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
22,14,Y (Y),6,N,Y,0.2535,1.0000,2,O, 
23,13,Y (Y),6,N,Y,0.2321,0.8421,2,O, 
24,13,Y (Y),6,N,Y,0.1464,0.6842,2,O, 
25,11,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
26,10,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
27,10,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
28,10,Y (Y),6,N,Y,0.2142,0.5263,2,O, 
29,9,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
30,9,Y (Y),6,N,Y,0.2750,1.0000,2,O, 
31,8,Y (Y),6,N,Y,0.3035,1.0000,2,O, 
32,8,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
33,8,Y (Y),6,N,N,0.8444,0.4736,4,O, 
34,8,Y (Y),6,N,N,0.7785,0.9473,4,X, 
35,6,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
36,6,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
37,6,Y (Y),6,N,Y,0.2750,0.9736,2,O, 
38,5,Y (Y),6,N,Y,0.2642,0.8947,2,O, 
39,1,Y (Y),6,N,Y,0.5000,0.7894,3,O, 
40,1,Y (Y),6,N,Y,0.4142,0.9473,2,O, 
41,1,Y (Y),6,N,N,0.7785,0.8421,4,X, 
