순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),3,Y,Y,0.9259,0.5789,4,O,* 
1,36,Y (Y),3,Y,Y,0.9259,0.5789,4,O,* 
2,30,Y (Y),3,N,Y,0.8074,0.4736,4,O, 
3,20,Y (Y),3,N,Y,0.8740,0.4210,4,O, 
4,15,N (N),4,N,Y,0.2500,0.9375,2,O, 
5,14,Y (Y),5,Y,Y,0.9185,1.0000,4,O, 
6,13,Y (Y),6,N,Y,0.7500,0.9375,4,O, 
7,12,Y (Y),6,N,Y,0.7481,0.8421,4,O, 
8,5,Y (Y),6,N,Y,0.7703,0.9473,4,O, 
9,5,Y (N),6,N,Y,0.7481,0.9473,3,O, 
10,5,Y (Y),4,N,Y,0.9333,0.4736,4,O, 
11,5,N (N),6,N,Y,0.5428,1.0000,3,O, 
12,4,Y (Y),6,N,Y,0.5629,0.7894,3,O,* 
13,3,Y (Y),6,N,Y,0.5555,0.9736,3,O, 
14,2,Y (Y),6,N,Y,0.8074,0.7894,4,O, 
15,2,Y (Y),6,N,Y,0.7777,0.9473,4,O, 
16,2,Y (Y),6,N,Y,0.7555,1.0000,4,O, 
17,2,Y (Y),5,N,Y,0.5555,0.7894,4,O, 
18,1,Y (Y),6,N,Y,0.8074,0.7894,4,O,* 
19,1,Y (Y),6,Y,Y,0.9851,0.9473,4,O, 
20,1,Y (Y),6,Y,Y,0.8407,0.8947,4,O, 
21,1,Y (Y),6,N,Y,1.0000,0.1578,4,O, 
22,1,Y (Y),6,N,Y,0.8148,0.8947,4,O, 
23,1,Y (Y),6,N,Y,0.3703,0.5789,2,O, 
24,1,N (N),6,Y,Y,1.0000,1.0000,4,O, 
25,1,N (N),6,Y,Y,1.0000,0.6842,4,O, 
