순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),4,Y,Y,1.0000,0.6666,4,O, 
1,36,Y (Y),4,Y,Y,1.0000,0.6666,4,O, 
2,24,Y (Y),6,N,Y,0.4563,0.8611,2,O, 
3,23,Y (Y),4,N,Y,0.8333,1.0000,3,O, 
4,20,Y (Y),3,N,Y,0.8571,0.8333,4,O, 
5,19,Y (Y),4,N,Y,0.6944,0.8611,3,O, 
6,18,Y (Y),6,N,Y,0.2539,0.9444,2,O, 
7,18,Y (Y),4,Y,Y,0.9682,0.8333,4,O, 
8,16,Y (Y),6,N,Y,0.5952,0.8611,3,O, 
9,16,Y (Y),6,N,Y,0.5674,1.0000,2,O, 
10,16,Y (Y),6,N,Y,0.3214,0.6944,2,O, 
11,16,Y (Y),5,N,Y,0.5753,1.0000,3,O, 
12,15,Y (Y),6,Y,Y,0.9365,0.6666,4,O, 
13,14,Y (Y),6,Y,Y,0.8333,0.6944,4,O, 
14,14,Y (Y),6,N,Y,0.6904,0.7500,3,O, 
15,13,Y (Y),6,N,Y,0.4603,0.8333,2,O, 
16,12,Y (Y),6,N,Y,0.5000,0.5000,4,O, 
17,12,Y (Y),6,N,Y,0.3928,1.0000,2,X, 
18,12,Y (Y),5,N,Y,0.4761,0.6944,3,X, 
19,11,Y (Y),6,N,Y,0.4563,1.0000,2,X, 
20,10,Y (Y),4,Y,Y,0.7936,1.0000,4,X, 
21,9,Y (Y),6,N,Y,0.8015,0.8333,4,X, 
22,9,Y (Y),6,N,Y,0.3928,0.8611,2,X, 
23,9,Y (Y),5,N,Y,0.6706,1.0000,3,X, 
24,8,Y (Y),5,N,Y,0.5119,1.0000,2,X, 
25,7,Y (Y),6,Y,Y,0.8968,0.8333,4,X, 
26,7,Y (Y),6,N,Y,0.5158,1.0000,3,X, 
27,5,Y (Y),6,N,Y,0.5317,0.8611,3,X, 
28,1,Y (Y),6,N,Y,0.4325,0.8333,2,X, 
0,12,N (N),1,N,Y,0.7500,0.8750,4,O,* 
