순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,Y,Y,1.0000,0.6666,4,O, 
1,36,Y (Y),6,Y,Y,1.0000,0.6666,4,O, 
2,11,Y (Y),6,N,Y,0.4107,0.9736,2,O, 
3,10,Y (Y),6,N,Y,0.8214,1.0000,4,O, 
4,10,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
5,9,Y (Y),6,N,Y,0.8000,0.7894,4,O, 
6,9,Y (Y),6,N,Y,0.5071,0.6578,3,O, 
7,8,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
8,7,Y (Y),6,N,Y,0.5321,0.9210,3,O, 
9,7,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
10,7,Y (Y),6,N,N,0.7928,1.0000,4,O, 
11,6,Y (Y),6,N,Y,0.5642,1.0000,3,O, 
12,6,Y (Y),6,N,Y,0.5142,0.8157,3,O, 
13,5,Y (Y),6,N,Y,0.8071,0.8421,4,O, 
14,5,Y (Y),6,N,Y,0.7428,0.8421,4,O, 
15,5,Y (Y),6,N,Y,0.5357,0.8157,3,O, 
16,4,Y (Y),6,N,Y,0.9035,0.9473,4,O, 
17,4,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
18,3,Y (Y),6,N,Y,0.6714,1.0000,3,O, 
19,3,Y (Y),6,N,Y,0.6000,1.0000,3,O, 
20,3,Y (Y),6,N,Y,0.5785,0.9473,4,O, 
21,3,Y (Y),6,N,Y,0.5500,0.9736,3,O, 
22,3,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
23,2,Y (Y),6,N,Y,0.9142,0.9473,4,O, 
24,2,Y (Y),6,N,Y,0.8214,1.0000,4,O, 
25,2,Y (Y),6,N,Y,0.7428,0.9736,4,O, 
26,2,Y (Y),6,N,Y,0.7357,0.8421,4,O, 
27,2,Y (Y),6,N,Y,0.6214,0.9473,3,O, 
28,2,Y (Y),5,N,Y,0.7714,0.9473,4,O, 
29,1,Y (Y),6,N,Y,0.7857,0.9736,4,O, 
30,1,Y (Y),6,N,Y,0.7571,1.0000,4,O, 
31,1,Y (Y),6,N,Y,0.7178,0.9736,3,O, 
32,1,Y (Y),6,N,Y,0.6142,1.0000,3,O, 
33,1,Y (Y),6,N,Y,0.5571,0.9736,3,O, 
34,1,Y (Y),6,N,Y,0.5500,0.9736,3,O, 
35,1,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
36,1,N (N),6,N,Y,0.6518,0.9473,4,O, 
