순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,19,Y (Y),4,Y,Y,0.9214,0.7894,4,O, 
1,19,Y (Y),4,Y,Y,0.9214,0.7894,4,O, 
2,17,Y (Y),6,Y,Y,0.9214,0.9473,4,O, 
3,16,Y (Y),6,N,Y,0.6071,0.7894,3,O, 
4,16,Y (Y),5,N,Y,0.7500,0.9722,4,O, 
5,13,Y (Y),6,N,Y,0.6285,0.7894,3,O, 
6,12,Y (Y),5,Y,Y,0.9357,0.7894,4,O, 
7,11,Y (Y),6,N,Y,0.6928,0.9473,3,O, 
8,10,Y (Y),5,Y,Y,0.8928,0.7894,4,O, 
9,10,Y (Y),5,N,Y,0.7500,0.9722,4,O, 
10,10,Y (Y),4,N,Y,0.9142,0.9473,4,O, 
11,8,Y (Y),6,Y,Y,0.9000,0.9473,4,O, 
12,8,Y (Y),6,N,Y,0.6321,0.8157,3,O, 
13,8,Y (Y),6,N,Y,0.6285,0.7894,3,O, 
14,7,Y (Y),6,N,Y,0.7285,0.9473,3,O, 
15,6,Y (Y),6,N,Y,0.6464,0.7894,3,O, 
16,6,Y (Y),6,N,Y,0.6464,0.7894,3,O, 
17,6,Y (Y),5,N,Y,0.6714,0.9473,3,O, 
18,5,Y (Y),6,N,Y,0.8962,0.7894,4,O, 
19,4,Y (Y),6,N,Y,0.7928,1.0000,4,O, 
20,4,Y (Y),6,N,Y,0.7928,0.5263,4,O, 
21,3,Y (Y),6,N,Y,0.8714,0.9473,4,O, 
22,3,Y (Y),6,N,Y,0.6500,0.8947,3,O, 
23,3,Y (Y),5,Y,Y,1.0000,0.9736,4,O, 
24,2,Y (Y),6,Y,Y,0.9142,1.0000,4,O, 
25,2,Y (Y),6,Y,Y,0.8928,0.9473,4,O, 
26,2,Y (Y),6,Y,Y,0.8785,0.9473,4,O, 
27,2,Y (Y),6,N,Y,0.8571,0.7894,4,O, 
28,2,Y (Y),6,N,Y,0.7428,0.7894,4,O, 
29,2,Y (Y),6,N,Y,0.6714,0.9473,3,O, 
30,2,Y (Y),6,N,Y,0.6500,0.7894,3,O, 
31,2,Y (Y),6,N,Y,0.6285,0.8157,3,O, 
32,2,Y (Y),5,N,Y,0.8428,0.9473,4,O, 
33,1,Y (Y),6,Y,Y,0.9714,1.0000,4,O, 
34,1,Y (Y),6,Y,Y,0.9357,0.9473,4,O, 
35,1,Y (Y),6,Y,Y,0.9142,0.7894,4,O, 
36,1,Y (Y),6,Y,Y,0.9071,0.9473,4,O, 
37,1,Y (Y),6,Y,Y,0.8892,0.9736,4,O, 
38,1,Y (Y),6,Y,Y,0.8857,1.0000,4,O, 
39,1,Y (Y),6,Y,Y,0.8785,0.6315,4,O, 
40,1,Y (Y),6,N,Y,0.9357,0.9473,4,O, 
41,1,Y (Y),6,N,Y,0.7642,0.8421,4,O, 
42,1,Y (Y),6,N,Y,0.7571,1.0000,4,O, 
43,1,Y (Y),6,N,Y,0.7214,0.7894,3,O, 
44,1,Y (Y),6,N,Y,0.6500,0.9736,3,O, 
45,1,Y (Y),6,N,Y,0.6428,1.0000,3,O, 
46,1,Y (Y),6,N,Y,0.5214,0.7894,3,O, 
