순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),6,Y,Y,0.8857,0.8947,4,O, 
1,18,Y (Y),6,Y,Y,0.8857,0.8947,4,O, 
2,18,Y (Y),6,Y,Y,0.8642,0.8421,4,O, 
3,18,Y (Y),6,N,Y,0.6785,0.9473,3,O, 
4,18,Y (Y),6,N,Y,0.6785,0.9473,3,O, 
5,18,Y (Y),6,N,Y,0.6750,0.9473,3,O, 
6,18,Y (Y),6,N,Y,0.6714,0.9473,3,O, 
7,18,Y (Y),6,N,Y,0.6571,0.9473,3,O, 
8,18,Y (Y),6,N,Y,0.6571,0.7894,3,O, 
9,18,Y (Y),6,N,Y,0.6500,0.9473,3,O, 
10,18,Y (Y),6,N,Y,0.6500,0.9473,3,O, 
11,18,Y (Y),6,N,Y,0.6464,0.9736,3,O, 
12,18,Y (Y),6,N,Y,0.6214,1.0000,3,O, 
13,18,Y (Y),6,N,Y,0.6071,0.9473,4,O, 
14,18,Y (Y),6,N,Y,0.6071,0.9473,3,O, 
15,18,Y (Y),6,N,Y,0.6071,0.7894,3,O, 
16,18,Y (Y),6,N,Y,0.6000,0.9473,3,O, 
17,18,Y (Y),6,N,Y,0.5000,0.9473,3,O, 
18,18,Y (Y),6,N,Y,0.4000,0.9210,2,O, 
19,18,Y (Y),6,N,Y,0.4000,0.6842,3,O, 
20,18,Y (Y),5,N,Y,0.8285,0.9473,4,O, 
21,18,Y (Y),4,N,Y,0.6500,0.9473,3,O, 
22,18,N (N),6,N,Y,0.4481,0.7894,3,O, 
23,18,N (N),5,N,Y,0.7777,0.8947,4,O, 
24,16,Y (Y),6,N,Y,0.5642,0.7894,3,O, 
25,15,Y (Y),6,Y,Y,0.8928,0.9473,4,O, 
26,15,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
27,13,Y (Y),6,N,Y,0.8535,1.0000,4,O, 
28,12,Y (Y),6,Y,Y,1.0000,0.7894,4,O, 
29,12,Y (Y),6,Y,Y,0.9071,0.9473,4,O, 
30,12,Y (Y),6,Y,Y,0.8785,0.9473,4,O, 
31,12,Y (Y),6,N,Y,0.6785,0.9473,3,O, 
32,12,Y (Y),6,N,Y,0.6357,1.0000,3,O, 
33,12,Y (Y),6,N,Y,0.6000,0.9210,3,O, 
34,11,Y (Y),6,N,Y,0.6857,1.0000,3,O, 
35,11,Y (Y),6,N,Y,0.6071,0.7894,3,O, 
36,11,Y (Y),6,N,Y,0.5857,0.9473,3,O, 
37,10,Y (Y),6,N,Y,0.6500,0.9473,3,O, 
38,10,Y (Y),6,N,Y,0.6285,0.9473,3,O, 
39,10,Y (Y),6,N,Y,0.5714,0.9473,3,O, 
40,10,Y (Y),6,N,Y,0.4571,0.9473,3,O, 
41,9,Y (Y),6,N,Y,0.6285,0.9473,3,O, 
42,8,Y (Y),6,Y,Y,0.9071,1.0000,4,O, 
43,8,Y (Y),6,N,Y,0.7142,0.9473,4,O, 
44,8,Y (Y),6,N,Y,0.7000,0.3157,4,O, 
45,8,Y (Y),6,N,Y,0.6357,1.0000,3,O, 
46,7,Y (Y),6,Y,Y,0.7928,0.9473,4,O, 
47,5,Y (Y),6,N,Y,0.7571,0.7894,4,O, 
48,2,Y (Y),6,N,Y,0.6928,0.9473,3,O, 
49,1,Y (Y),6,N,Y,0.7857,0.9473,4,O, 
