순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),2,Y,Y,1.0000,0.6315,4,O, 
1,36,Y (Y),2,Y,Y,1.0000,0.6315,4,O, 
2,15,Y (Y),6,Y,Y,0.8666,1.0000,4,O, 
3,15,Y (Y),5,Y,Y,0.9925,0.7894,4,O, 
4,15,N (N),5,N,Y,0.4777,0.7894,3,O, 
5,14,Y (Y),6,N,Y,0.7851,0.9473,4,O, 
6,12,Y (Y),6,N,Y,0.2185,0.5526,2,O, 
7,11,Y (Y),6,N,Y,0.5777,0.4736,3,O, 
8,10,Y (Y),6,N,Y,0.8074,0.9473,4,O, 
9,10,Y (Y),6,N,Y,0.5259,0.7631,3,O, 
10,10,Y (Y),6,N,Y,0.2666,1.0000,2,O, 
11,10,Y (Y),6,N,Y,0.2666,1.0000,2,O, 
12,10,Y (Y),6,N,Y,0.2370,0.9473,2,O, 
13,9,Y (Y),6,N,Y,0.5629,0.9473,3,O, 
14,9,Y (Y),6,N,Y,0.2740,1.0000,2,O, 
15,8,Y (Y),6,N,Y,0.7555,0.7894,4,O, 
16,8,Y (Y),6,N,Y,0.2814,0.9473,2,O, 
17,7,Y (Y),6,N,Y,0.5370,0.9736,3,O, 
18,7,Y (Y),6,N,Y,0.5185,1.0000,3,O, 
19,6,Y (Y),6,Y,Y,0.8740,0.7894,4,O, 
20,6,Y (Y),6,N,Y,0.7703,0.9473,4,O, 
21,6,Y (Y),6,N,Y,0.5037,0.9473,3,O, 
22,5,Y (Y),6,N,Y,0.6814,1.0000,3,O, 
23,5,Y (Y),6,N,Y,0.5370,0.7894,3,O, 
24,4,Y (Y),6,Y,Y,0.9037,1.0000,4,O, 
25,4,Y (Y),6,N,Y,0.2370,0.7894,2,O, 
26,3,Y (Y),6,N,Y,0.5259,1.0000,3,O, 
27,3,Y (Y),6,N,Y,0.5185,0.9473,3,O, 
28,3,Y (Y),6,N,Y,0.4296,0.7894,3,O, 
29,3,Y (Y),6,N,Y,0.2629,0.8157,2,O, 
30,3,Y (Y),5,N,Y,0.9629,1.0000,4,O, 
31,2,Y (Y),6,N,Y,0.6666,1.0000,3,O, 
32,2,Y (Y),6,N,Y,0.3481,0.7894,2,O, 
33,2,Y (Y),6,N,Y,0.2666,0.8421,2,O, 
34,2,Y (Y),6,N,Y,0.2444,0.8421,2,O, 
0,12,Y (Y),6,N,Y,0.2740,0.8947,2,O,* 
